epoch,loss
1,195.40257954809778
2,132.54375648799382
3,128.79509575713087
4,126.36137102131453
5,124.32489092759391
6,122.7034850070284
7,121.40347930048642
8,120.21688839521434
9,119.30723343842617
10,118.49432246355629
